"","problem","mean_result","n_positive"
"1","p1",5.92553191489362,88
"2","p2",6.46739130434783,87
"3","p3",3.65384615384615,58
"4","p4",4.45070422535211,61
"5","p5",3.10344827586207,73
"6","p6",7.09782608695652,90
"7","p7",6.4367816091954,79
"8","p8",3.98484848484848,61
"9","p9",2.57894736842105,23
"10","p10",4.54545454545455,41
